	0 T		1 T		3 T		5 T		7 T
192.067255	94323.4149664906	30.4812265	29726.8410630719	30.474946	30512.3858363828	30.47522	31383.2660259875	30.4669725	32340.6984188391
184.112095	95206.0464550344	29.1823725	28445.5599637377	29.1859925	28776.7148316925	29.1862305	29992.4141204328	29.187327	30835.5157796547
176.18652	94297.2411633719	27.876402	26300.5881678748	27.8704495	27083.397890418	27.871102	28010.6974848595	27.880729	29146.1817399563
168.239505	94517.9090561063	26.588793	24355.6598690423	26.581112	25065.3514320581	26.5837795	26118.8736337494	26.574854	27581.446397955
160.27941	93220.814164075	25.258088	23025.2348919425	25.256266	23802.0518671658	25.2549795	24930.1897352452	25.252482	26185.2496483452
152.321955	92378.9378808906	23.93705	21374.9730265202	23.933127	22073.3828272094	23.935651	23307.2604835752	23.932801	24185.6314999661
144.357825	91481.4988108844	22.6142585	19929.9596432594	22.611397	20400.0591270887	22.610123	21762.9933590938	22.615732	22486.9574036155
136.39528	90816.1768830844	21.2972355	18311.2878575627	21.296583	18894.9227258086	21.2953465	20224.2228191581	21.289426	21038.6592681869
128.42416	89888.6717232234	19.9622965	16529.0265098914	19.959406	17401.6412650856	19.958718	18653.8314219445	19.9632735	19279.6235204227
120.45723	90037.9757769141	18.6484165	15026.5802098375	18.6463035	15859.8636867103	18.6472835	16974.059323578	18.635324	17718.3880871528
112.490315	87562.462803175	17.326485	13453.3338009777	17.324022	14267.6842160113	17.3305765	15326.1404172217	17.3300805	15900.6638416112
104.53415	83541.442870625	16.003735	11831.6030128808	16.000284	12675.3457040998	15.999912	13647.3690903362	15.992377	14042.1403000772
96.544817	80851.9643529922	14.6787215	10262.8691658002	14.6767805	11099.1480858487	14.682196	12012.2238702625	14.682771	12210.7118841125
88.5700215	79077.0558341516	13.361561	8789.3842561989	13.3585755	9644.21860467703	13.355343	10434.2013578845	13.3505775	10424.2511899389
80.5893355	75335.0365608687	12.0358885	7326.10919119422	12.034772	8244.23578667469	12.0382505	8948.65909163766	12.033722	8714.18582043594
72.6113785	71486.4009832391	10.7230845	6090.29111751672	10.7212695	6986.54775690734	10.7136815	7537.87034658313	10.703859	7028.78185944469
64.620994	66786.2893891219	10.1958975	5614.23739409578	10.195331	6538.90457732781	10.1889905	7007.28180658859	10.181261	6431.04385780641
56.637142	60095.7075940906	9.90642565	5382.90343323312	9.9053128	6312.76142960719	9.9016062	6735.05449925953	9.8933629	6111.89223526562
48.6489475	51829.5670655344	9.64187125	5175.13877880391	9.64292475	6132.32437863109	9.63209495	6508.00534628875	9.62670235	5837.35117175734
40.661136	42151.6702315687	9.36101085	4967.76320989688	9.3605054	5931.51330376047	9.3516486	6256.64894138531	9.34527765	5545.49594566312
38.577524	39577.53882255	9.07593445	4742.75926106719	9.07508535	5716.93678966484	9.06680005	5996.5665993625	9.05908835	5272.00074632891
36.6468665	38001.8011497672	8.78598055	4561.06204826187	8.78472345	5513.23978244422	8.78400335	5768.97132377687	8.7710236	5018.0431372225
34.7423495	33987.4291685234	8.51588805	4395.63112974875	8.5091259	5344.5062178375	8.5040579	5526.4482195475	8.48923475	4788.39492731984
32.826079	32257.7020965234	8.23771325	4252.94496556906	8.22992055	5188.54490799922	8.2190578	5341.82441939281	8.2072169	4586.76001610625
30.9276845	29930.3264925141	7.95154695	4096.26975966781	7.94589665	5051.78549834109	7.94207645	5144.74043453531	7.93048095	4400.66834143188
28.9939995	27790.524609688	7.66732115	3990.39412069687	7.6702017	4938.83503057047	7.6614338	4966.6094095625	7.64928315	4264.27697403922
27.0963575	25297.4442385253	7.3935677	3894.32463935688	7.38899005	4841.06562628125	7.3765666	4817.07774513594	7.3636298	4176.09742560609
25.1976625	23554.1083349387	7.15405405	3803.39715652937	7.15174625	4742.86175747406	7.1423314	4721.85228448719	7.13084315	4138.44602903703
23.312067	20560.275326175	6.8518644	3789.42242994844	6.85054805	4706.23532497375	6.8396407	4582.06350477	6.8284919	4185.52108267953
21.386799	18593.3153101636	6.5710915	3699.90541792672	6.56791015	4624.22846517812	6.55644675	4503.06439917109	6.54450725	4309.8078534625
19.4480385	15972.0663315347	6.2888761	3673.67635836516	6.28510085	4599.83446349328	6.2725085	4475.59407376594	6.2619393	4482.97510342359
17.5355115	13654.2359201427	6.00656145	3629.28925867781	6.00420465	4588.94822850219	5.9892418	4462.03734929125	5.97820275	4847.31089268172
15.615616	11253.6491081919	5.7226089	3681.17405641891	5.7189141	4555.80080462797	5.7049113	4528.80831861687	5.69384	5218.33299782297
13.6694195	8961.12070785453	5.44144885	3684.67196103063	5.4354803	4577.20594810172	5.42158365	4623.66802742266	5.40908885	5566.72186357625
11.7551565	6938.50585866703	5.1578703	3768.86345443703	5.15131415	4712.9771836025	5.13886855	4939.04302956375	5.12726795	5929.98086795656
11.2257765	6426.24098497531	4.8754721	3784.70988565469	4.86923225	4794.21188471281	4.8548406	5240.77713420328	4.84486555	6153.29605964672
10.917627	6171.17667234719	4.5934193	3892.70001404734	4.5862524	4863.432747205	4.5718609	5569.79575372266	4.5514887	6173.04980849797
10.603542	5862.37418072125	4.3109565	3986.05906666141	4.3013353	5063.33710106844	4.2841251	5915.05819276344	4.26983375	5964.76322404156
10.282014	5565.15263786094	4.02394765	4114.55506139375	4.0153946	5262.13704183266	3.9995638	6110.32415476156	3.9854246	5621.96141452281
9.96003575	5267.01879108859	3.74063675	4196.81043203062	3.73189645	5497.80577042797	3.71715005	6095.47964023625	3.702834	5197.94795127016
9.65242805	4999.18608878	3.4591963	4259.17362640641	3.4496884	5849.49169937	3.4349298	5877.26493315078	3.42072405	4670.29158152984
9.33688615	4779.23438253109	3.17680385	4294.73873438078	3.16687305	6064.82204877094	3.15233845	5465.04829098437	3.1379343	4061.702416995
9.02077865	4529.96970597578	2.89550975	4291.91693386078	2.88359675	6203.8498356125	2.86914805	4884.1771037875	2.85401675	3422.02062387125
8.6969092	4346.18047851953	2.60928195	4213.67853483469	2.598257	6172.56924922719	2.58391485	4228.75767451484	2.5707986	2782.00039219284
8.38228715	4152.81914598156	2.3231665	4063.21309378516	2.3125808	5822.04012679906	2.299118	3485.80144662313	2.28749205	2119.7076913005
8.06612655	3972.50892715141	2.03848375	3799.82638785187	2.02768485	5076.17134039578	2.0154612	2684.28645907355	2.0060214	1474.80470830631
7.74939115	3840.23402159687	--	--	--	--	--	--	--	--
7.4316624	3723.10439167219	--	--	--	--	--	--	--	--
7.1560335	3587.25084411281	--	--	--	--	--	--	--	--
6.81563325	3552.1635755325	--	--	--	--	--	--	--	--
6.4999369	3471.95283643109	--	--	--	--	--	--	--	--
6.18240225	3459.29424387922	--	--	--	--	--	--	--	--
5.86279195	3459.51856213281	--	--	--	--	--	--	--	--
5.5451677	3440.02277211563	--	--	--	--	--	--	--	--
5.225812	3488.74335117297	--	--	--	--	--	--	--	--
4.90879405	3571.99906383672	--	--	--	--	--	--	--	--
4.59219865	3637.69639761547	--	--	--	--	--	--	--	--
4.273343	3706.41465552031	--	--	--	--	--	--	--	--
3.95444575	3735.01687909469	--	--	--	--	--	--	--	--
3.63656815	3802.25795763844	--	--	--	--	--	--	--	--
3.31830075	3774.04167025531	--	--	--	--	--	--	--	--
3.00460495	3672.91722645781	--	--	--	--	--	--	--	--
2.6816995	3482.18415373859	--	--	--	--	--	--	--	--
2.36249265	3170.23648256594	--	--	--	--	--	--	--	--
2.04221385	2725.62092659831	--	--	--	--	--	--	--	--
