# MSlice Cut of workspace "HYS_219483_4pixel_QE"
# Cut axis: DeltaE,-10.0,8.0,0.1
# Integration axis: |Q|,1.5,2.5,0.0
# (Energy Transfer (meV)) (Signal) (Error)
-1.000000000e+01 7.296464209e-05 5.548985095e-06
-9.899441341e+00 8.162429032e-05 4.777351134e-06
-9.798882682e+00 7.757696364e-05 8.019090712e-06
-9.698324022e+00 7.305066250e-05 4.497239330e-06
-9.597765363e+00 8.088168024e-05 8.542835439e-06
-9.497206704e+00 7.698346107e-05 5.735163855e-06
-9.396648045e+00 7.455615547e-05 4.636411276e-06
-9.296089385e+00 7.040532979e-05 7.698158032e-06
-9.195530726e+00 8.051938184e-05 4.831588315e-06
-9.094972067e+00 6.693016472e-05 7.545409594e-06
-8.994413408e+00 8.023067775e-05 5.896683003e-06
-8.893854749e+00 7.437959329e-05 4.640750665e-06
-8.793296089e+00 8.518504760e-05 8.782874292e-06
-8.692737430e+00 7.335079483e-05 4.654939474e-06
-8.592178771e+00 7.827891108e-05 8.453231284e-06
-8.491620112e+00 7.872364078e-05 5.967578415e-06
-8.391061453e+00 7.043969985e-05 4.568941453e-06
-8.290502793e+00 7.954315773e-05 8.764772532e-06
-8.189944134e+00 7.949680931e-05 4.854890146e-06
-8.089385475e+00 7.920278063e-05 8.352707221e-06
-7.988826816e+00 7.834576256e-05 5.999939079e-06
-7.888268156e+00 8.368068909e-05 4.922586683e-06
-7.787709497e+00 7.837721519e-05 8.279728357e-06
-7.687150838e+00 8.174583855e-05 5.849470053e-06
-7.586592179e+00 7.856737625e-05 6.088183910e-06
-7.486033520e+00 8.180144671e-05 5.924104977e-06
-7.385474860e+00 7.593354845e-05 4.774957086e-06
-7.284916201e+00 8.797494882e-05 8.848353925e-06
-7.184357542e+00 7.684689289e-05 5.979522941e-06
-7.083798883e+00 9.008933047e-05 6.290736349e-06
-6.983240223e+00 7.638627246e-05 5.979514539e-06
-6.882681564e+00 7.872271641e-05 5.095837720e-06
-6.782122905e+00 7.559307913e-05 8.398982267e-06
-6.681564246e+00 7.816533011e-05 6.176212544e-06
-6.581005587e+00 8.880362227e-05 6.451662860e-06
