	0 T KErSe2		0 T KLuSe2
0.48228903	1273.72658744456	191.84814	109372.662019613
0.57784655	1224.82466997073	178.73597	107909.191475827
0.67447316	1141.93994511676	164.57006	104203.300062125
0.77353312	1071.81789758859	148.94923	101224.646282289
0.86913652	1021.56486672424	131.5097	96162.5918811036
0.96594251	965.450258710415	111.43687	85518.8942910527
1.0635523	937.993790128195	86.613024	73997.8191174109
1.1611453	916.551895161464	66.9402644778842	59451.0469722694
1.2594539	907.794935413829	50.824891	42517.1353750498
1.3569518	916.657890970951	45.764287	38103.0871341029
1.4544993	949.505130504439	45.695248	38173.6073930244
1.5520466	1004.34130289151	42.468507	34981.8994853313
1.649475	1078.54823167451	35.244031	25276.9779868042
1.7485891	1174.92534347988	30.195154	18551.6987715489
1.8459276	1279.99748789188	29.146279	16781.7482009033
1.9425764	1406.84861704529	28.134178	16000.0719379002
2.0391779	1535.87714712337	27.136868	14526.196707848
2.135966	1673.04611983085	26.135099	13609.4782806751
2.2341742	1804.26875428051	25.121002	12891.448668282
2.3314159	1936.04695603673	24.112927	11778.0220403284
2.4284398	2076.60352993798	23.102594	10554.8846068816
2.5254093	2206.52160741302	22.086718	9233.95229064467
2.623078	2325.89252433124	21.077583	8281.61174366222
2.7209303	2450.39290987407	20.072855	7352.06619561771
2.8179809	2577.34816902642	19.061696	6480.19495340767
2.917028	2689.61105849229	18.059005	5574.2138348146
3.0158708	2805.80494426578	17.056214	4867.83033193229
3.4788621	3179.52751041417	16.058069	4028.08091240416
3.9375157	3405.09156849905	15.055082	3351.34437400178
4.4060243	3518.55675075117	14.040867	2787.85307818622
4.8689332	3544.35593531463	13.043992	2111.43702561333
5.3375196	3564.74817856863	12.035666	1622.19627033173
5.8055264	3561.14361026107	11.028006	1265.93994031007
6.0084634	3519.62171143359	10.025636	844.811888749067
6.2671233	3578.01089312478	9.0313405	605.56741497446
6.2902311	3467.8560726476	8.0243472	410.508885448938
6.2957834	3485.80212980165	7.0247185	262.77987185558
6.301438	3560.9695283779	6.0186247	160.855665133836
6.5722172	3522.17950754043	5.0178183	81.7323843126178
