# MSlice Cut of workspace "HYS_219492_4pixel_QE"
# Cut axis: DeltaE,-10.0,8.0,0.1
# Integration axis: |Q|,1.5,2.5,0.0
# (Energy Transfer (meV)) (Signal) (Error)
-1.000000000e+01 1.016017485e-04 6.414345148e-06
-9.899441341e+00 9.509601105e-05 5.072600352e-06
-9.798882682e+00 1.052223922e-04 9.312084249e-06
-9.698324022e+00 1.059963617e-04 5.339402022e-06
-9.597765363e+00 9.781994942e-05 8.949237842e-06
-9.497206704e+00 1.093237978e-04 6.733612285e-06
-9.396648045e+00 1.044864186e-04 5.343572948e-06
-9.296089385e+00 1.160525356e-04 9.724826175e-06
-9.195530726e+00 1.111734206e-04 5.534647201e-06
-9.094972067e+00 1.097337647e-04 9.563317901e-06
-8.994413408e+00 1.213108158e-04 7.108885905e-06
-8.893854749e+00 1.123514561e-04 5.683496806e-06
-8.793296089e+00 1.009463993e-04 9.331263726e-06
-8.692737430e+00 1.287106220e-04 6.015847633e-06
-8.592178771e+00 1.373909429e-04 1.071673203e-05
-8.491620112e+00 1.250777368e-04 7.137223508e-06
-8.391061453e+00 1.280338820e-04 6.060926413e-06
-8.290502793e+00 1.253450950e-04 1.053783778e-05
-8.189944134e+00 1.220555943e-04 5.973056290e-06
-8.089385475e+00 1.512040766e-04 1.122893999e-05
-7.988826816e+00 1.362004549e-04 7.633552599e-06
-7.888268156e+00 1.408857947e-04 6.320701766e-06
-7.787709497e+00 1.470717704e-04 1.137050744e-05
-7.687150838e+00 1.510159492e-04 7.942793274e-06
-7.586592179e+00 1.514555856e-04 8.018000685e-06
-7.486033520e+00 1.299895361e-04 7.651473037e-06
-7.385474860e+00 1.488877644e-04 6.514300775e-06
-7.284916201e+00 1.531341954e-04 1.140351833e-05
-7.184357542e+00 1.406038715e-04 7.904453687e-06
-7.083798883e+00 1.478184785e-04 7.992488974e-06
-6.983240223e+00 1.507111582e-04 8.140799073e-06
-6.882681564e+00 1.482702950e-04 6.645855152e-06
-6.782122905e+00 1.452997326e-04 1.142311890e-05
-6.681564246e+00 1.630532197e-04 8.529886005e-06
-6.581005587e+00 1.548655035e-04 8.289358204e-06
-6.480446927e+00 1.431496134e-04 8.067588905e-06
-6.379888268e+00 1.365560759e-04 7.852556631e-06
-6.279329609e+00 1.817967280e-04 9.017006456e-06
-6.178770950e+00 1.958680395e-04 9.335859461e-06
-6.078212291e+00 2.058693707e-04 9.499718620e-06
-5.977653631e+00 2.396801727e-04 1.036507477e-05
-5.877094972e+00 2.888219040e-04 1.126953968e-05
-5.776536313e+00 3.678699668e-04 1.276659388e-05
-5.675977654e+00 4.545457313e-04 1.403269725e-05
-5.575418994e+00 5.878577059e-04 1.604866283e-05
-5.474860335e+00 8.239180702e-04 1.895429334e-05
-5.374301676e+00 1.027494043e-03 2.116660568e-05
-5.273743017e+00 1.208218178e-03 2.293432640e-05
-5.173184358e+00 1.416535160e-03 2.486210895e-05
-5.072625698e+00 1.500098155e-03 2.569928622e-05
-4.972067039e+00 1.618056422e-03 2.665061267e-05
-4.871508380e+00 1.622499449e-03 2.676688607e-05
-4.770949721e+00 1.642966010e-03 2.694740817e-05
-4.670391061e+00 1.627103390e-03 2.684304545e-05
-4.569832402e+00 1.662868277e-03 2.717556013e-05
-4.469273743e+00 1.794713935e-03 2.821129294e-05
-4.368715084e+00 1.976606214e-03 2.959989117e-05
-4.268156425e+00 2.044687896e-03 3.014642770e-05
-4.167597765e+00 2.066441221e-03 3.031593702e-05
-4.067039106e+00 2.065103833e-03 3.032190579e-05
-3.966480447e+00 2.037452611e-03 3.014522503e-05
-3.865921788e+00 1.761214479e-03 2.801852365e-05
-3.765363128e+00 1.469580594e-03 2.574073505e-05
-3.664804469e+00 1.277874159e-03 2.398541481e-05
-3.564245810e+00 1.252409638e-03 2.383302031e-05
-3.463687151e+00 1.503936337e-03 2.615933818e-05
-3.363128492e+00 1.813994481e-03 2.865285669e-05
-3.262569832e+00 1.948738244e-03 2.986641160e-05
-3.162011173e+00 1.840287006e-03 2.897740664e-05
-3.061452514e+00 1.419808820e-03 2.553542736e-05
-2.960893855e+00 9.622032381e-04 2.110054222e-05
-2.860335196e+00 6.387097180e-04 1.741736659e-05
-2.759776536e+00 5.072508680e-04 1.560449348e-05
-2.659217877e+00 4.649940021e-04 1.479376023e-05
-2.558659218e+00 4.946523934e-04 1.532131388e-05
-2.458100559e+00 5.621485005e-04 1.632858364e-05
-2.357541899e+00 7.372431374e-04 1.859469421e-05
-2.256983240e+00 9.280900173e-04 2.085232517e-05
-2.156424581e+00 1.281294926e-03 2.447756052e-05
-2.055865922e+00 1.836497191e-03 2.924163149e-05
-1.955307263e+00 2.472424870e-03 3.394148600e-05
-1.854748603e+00 3.127262174e-03 3.829003348e-05
-1.754189944e+00 3.262744620e-03 3.897451749e-05
-1.653631285e+00 2.982998919e-03 3.741839734e-05
-1.553072626e+00 2.678171353e-03 3.545363656e-05
-1.452513966e+00 2.685262240e-03 3.549808094e-05
-1.351955307e+00 2.401188555e-03 3.371442829e-05
-1.251396648e+00 1.918901456e-03 3.011708242e-05
-1.150837989e+00 1.857706907e-03 2.976255511e-05
-1.050279330e+00 2.271119168e-03 3.288500944e-05
-9.497206704e-01 3.167136640e-03 3.866883148e-05
-8.491620112e-01 4.639741283e-03 4.688492218e-05
-7.486033520e-01 5.856274988e-03 5.270742120e-05
-6.480446927e-01 5.607914606e-03 5.180487713e-05
-5.474860335e-01 4.158363015e-03 4.464030687e-05
-4.469273743e-01 3.480427384e-03 4.090265241e-05
-3.463687151e-01 5.476070726e-03 5.132794491e-05
-2.458100559e-01 1.179242681e-02 7.521144612e-05
-1.452513966e-01 2.367695889e-02 1.065450018e-04
-4.469273743e-02 4.237063351e-02 1.425580109e-04
5.586592179e-02 7.170425515e-02 1.850140339e-04
1.564245810e-01 9.848992656e-02 2.170753582e-04
2.569832402e-01 7.174040702e-02 1.853302019e-04
3.575418994e-01 2.285043286e-02 1.046788407e-04
4.581005587e-01 7.059345332e-03 5.830155504e-05
5.586592179e-01 4.896198238e-03 4.872822107e-05
6.592178771e-01 3.907583586e-03 4.388375890e-05
7.597765363e-01 3.498002381e-03 4.175303431e-05
8.603351955e-01 4.258533707e-03 4.622914831e-05
9.608938547e-01 5.842075150e-03 5.429100382e-05
1.061452514e+00 6.711368780e-03 5.852523161e-05
1.162011173e+00 5.139300403e-03 5.153796564e-05
1.262569832e+00 2.641310274e-03 3.733176034e-05
1.363128492e+00 1.585518587e-03 2.926658844e-05
1.463687151e+00 1.642614078e-03 2.989620595e-05
1.564245810e+00 2.043493757e-03 3.334568238e-05
1.664804469e+00 2.892037531e-03 3.985865062e-05
1.765363128e+00 3.517695967e-03 4.411111411e-05
1.865921788e+00 3.341990035e-03 4.319051903e-05
1.966480447e+00 3.118000887e-03 4.199629211e-05
2.067039106e+00 3.693623066e-03 4.583602196e-05
2.167597765e+00 3.960833784e-03 4.768023872e-05
2.268156425e+00 2.960672544e-03 4.153869077e-05
2.368715084e+00 1.545675666e-03 3.053379917e-05
2.469273743e+00 8.917907610e-04 2.358417884e-05
2.569832402e+00 7.992357285e-04 2.263095619e-05
2.670391061e+00 7.347259756e-04 2.156358829e-05
2.770949721e+00 6.877934924e-04 2.101137513e-05
2.871508380e+00 6.246044780e-04 2.049640520e-05
2.972067039e+00 6.051598938e-04 2.027819746e-05
3.072625698e+00 5.960244915e-04 2.030655900e-05
3.173184358e+00 7.724861600e-04 2.255878606e-05
3.273743017e+00 1.142405569e-03 2.791044083e-05
3.374301676e+00 1.809437077e-03 3.472029528e-05
3.474860335e+00 2.648200894e-03 4.202677521e-05
3.575418994e+00 3.138699047e-03 4.578347391e-05
3.675977654e+00 2.520750797e-03 4.137332967e-05
3.776536313e+00 1.640558565e-03 3.401616727e-05
3.877094972e+00 1.013270135e-03 2.746772613e-05
3.977653631e+00 1.017376328e-03 2.760332634e-05
4.078212291e+00 1.567201553e-03 3.401403274e-05
4.178770950e+00 2.454689766e-03 4.231792787e-05
4.279329609e+00 3.518480792e-03 5.061712292e-05
4.379888268e+00 3.302689288e-03 4.941702981e-05
4.480446927e+00 2.414576548e-03 4.272570647e-05
4.581005587e+00 2.540685898e-03 4.384246387e-05
4.681564246e+00 3.022561302e-03 4.817795026e-05
4.782122905e+00 2.632845706e-03 4.568436658e-05
4.882681564e+00 1.849994456e-03 3.877208547e-05
4.983240223e+00 1.782408082e-03 3.840142525e-05
5.083798883e+00 2.372104634e-03 4.420319508e-05
5.184357542e+00 2.871328799e-03 4.872451269e-05
5.284916201e+00 2.596766757e-03 4.682178802e-05
5.385474860e+00 2.043840165e-03 4.223166298e-05
5.486033520e+00 2.067084478e-03 4.302076536e-05
5.586592179e+00 2.312985127e-03 4.526210811e-05
5.687150838e+00 1.770890844e-03 4.033853755e-05
5.787709497e+00 9.127733798e-04 3.179841233e-05
5.888268156e+00 5.982659289e-04 2.678345168e-05
5.988826816e+00 5.139202370e-04 2.534684744e-05
6.089385475e+00 3.720100187e-04 2.370157505e-05
6.189944134e+00 3.950697817e-04 2.389993763e-05
6.290502793e+00 3.419585273e-04 2.407985745e-05
6.391061453e+00 3.244670803e-04 2.487557557e-05
6.491620112e+00 2.771835683e-04 2.426945433e-05
6.592178771e+00 2.640018382e-04 2.501030817e-05
6.692737430e+00 2.273726432e-04 2.529218633e-05
6.793296089e+00 2.545024891e-04 2.519965270e-05
6.893854749e+00 2.194261565e-04 2.698272205e-05
6.994413408e+00 2.184924213e-04 2.742766390e-05
7.094972067e+00 2.357941009e-04 2.853899884e-05
7.195530726e+00 2.189074402e-04 2.934373549e-05
7.296089385e+00 2.141541715e-04 3.187785171e-05
7.396648045e+00 2.405315050e-04 3.161100573e-05
7.497206704e+00 2.067700975e-04 3.373992212e-05
7.597765363e+00 2.039478303e-04 3.596220789e-05
7.698324022e+00 2.225089473e-04 3.888497694e-05
7.798882682e+00 1.882731859e-04 4.083798466e-05
7.899441341e+00 1.748151331e-04 4.388670638e-05
8.000000000e+00 2.205539241e-04 4.603910579e-05
