# MSlice Cut of workspace "HYS_219479_4pixel_QE"
# Cut axis: DeltaE,-10.0,8.0,0.1
# Integration axis: |Q|,1.5,2.5,0.0
# (Energy Transfer (meV)) (Signal) (Error)
-1.000000000e+01 7.104903740e-05 5.402124440e-06
-9.899441341e+00 7.983771365e-05 4.784072193e-06
-9.798882682e+00 8.141672837e-05 7.982170033e-06
-9.698324022e+00 7.739778086e-05 4.661254849e-06
-9.597765363e+00 6.393467360e-05 7.348122761e-06
-9.497206704e+00 7.698527726e-05 5.657153461e-06
-9.396648045e+00 7.636916098e-05 4.600895577e-06
-9.296089385e+00 6.344440346e-05 7.339866429e-06
-9.195530726e+00 6.598183000e-05 4.315551397e-06
-9.094972067e+00 6.771267708e-05 7.744085890e-06
-8.994413408e+00 7.162240323e-05 5.548647135e-06
-8.893854749e+00 7.018473674e-05 4.581102093e-06
-8.793296089e+00 8.201994731e-05 8.119716253e-06
-8.692737430e+00 7.653594136e-05 4.730154500e-06
-8.592178771e+00 7.429287633e-05 8.028419322e-06
-8.491620112e+00 7.312407942e-05 5.776790160e-06
-8.391061453e+00 8.276169170e-05 4.916745118e-06
-8.290502793e+00 7.392844306e-05 8.115620602e-06
-8.189944134e+00 8.137913192e-05 4.862949400e-06
-8.089385475e+00 7.439829175e-05 7.959720306e-06
-7.988826816e+00 6.790237547e-05 5.780671032e-06
-7.888268156e+00 8.020604638e-05 4.842026302e-06
-7.787709497e+00 8.403993864e-05 8.551907725e-06
-7.687150838e+00 8.014843877e-05 5.932806984e-06
-7.586592179e+00 7.330504868e-05 5.798785472e-06
-7.486033520e+00 7.572831462e-05 5.882224875e-06
-7.385474860e+00 7.701108452e-05 4.743755434e-06
-7.284916201e+00 7.494373158e-05 7.981368835e-06
-7.184357542e+00 7.315731742e-05 5.823388392e-06
-7.083798883e+00 8.312795743e-05 5.976230895e-06
-6.983240223e+00 8.789085381e-05 6.309525640e-06
-6.882681564e+00 7.651457953e-05 4.896660136e-06
-6.782122905e+00 7.559038403e-05 8.399123351e-06
-6.681564246e+00 7.984862430e-05 6.204848173e-06
-6.581005587e+00 7.365633010e-05 6.026170289e-06
-6.480446927e+00 8.067206595e-05 6.278786736e-06
-6.379888268e+00 8.327950759e-05 6.140771866e-06
-6.279329609e+00 8.224818224e-05 6.242202042e-06
-6.178770950e+00 7.615690717e-05 6.416769061e-06
-6.078212291e+00 8.918978617e-05 6.589475358e-06
-5.977653631e+00 7.424714094e-05 6.074321357e-06
-5.877094972e+00 7.644991996e-05 6.036263322e-06
-5.776536313e+00 7.843855601e-05 6.118225958e-06
-5.675977654e+00 8.620788913e-05 6.583856666e-06
-5.575418994e+00 8.433978672e-05 6.248065737e-06
-5.474860335e+00 8.749777397e-05 6.672113315e-06
-5.374301676e+00 8.175184382e-05 6.175702728e-06
-5.273743017e+00 8.609165491e-05 6.384729681e-06
-5.173184358e+00 8.091019199e-05 6.314543321e-06
-5.072625698e+00 8.085406028e-05 6.288243854e-06
-4.972067039e+00 8.592904849e-05 6.714817743e-06
-4.871508380e+00 9.063180241e-05 6.654426399e-06
-4.770949721e+00 8.065120883e-05 6.411898352e-06
-4.670391061e+00 9.361755257e-05 6.851391352e-06
-4.569832402e+00 8.063225901e-05 6.461189541e-06
-4.469273743e+00 8.075722237e-05 6.410263802e-06
-4.368715084e+00 8.495027921e-05 6.690037328e-06
-4.268156425e+00 9.658877244e-05 6.846787493e-06
-4.167597765e+00 8.253134772e-05 6.591173238e-06
-4.067039106e+00 8.425243055e-05 6.407679012e-06
-3.966480447e+00 8.785359273e-05 6.700007491e-06
-3.865921788e+00 9.247363967e-05 7.120519912e-06
-3.765363128e+00 8.152815603e-05 6.378552055e-06
-3.664804469e+00 9.383788640e-05 6.846346579e-06
-3.564245810e+00 9.582236551e-05 6.878894829e-06
-3.463687151e+00 9.966105157e-05 7.172859082e-06
-3.363128492e+00 9.637318761e-05 7.005398187e-06
-3.262569832e+00 8.159766303e-05 6.724112882e-06
-3.162011173e+00 1.091159331e-04 7.398492521e-06
-3.061452514e+00 1.046914873e-04 7.322122951e-06
-2.960893855e+00 9.254527238e-05 7.047596289e-06
-2.860335196e+00 1.140427921e-04 7.830041642e-06
-2.759776536e+00 1.078499480e-04 7.620312635e-06
-2.659217877e+00 1.017740117e-04 7.287404783e-06
-2.558659218e+00 9.305336739e-05 7.262727933e-06
-2.458100559e+00 1.015078932e-04 7.391246490e-06
-2.357541899e+00 8.512532692e-05 7.001108333e-06
-2.256983240e+00 8.894621843e-05 7.220673512e-06
-2.156424581e+00 1.035608111e-04 7.502652567e-06
-2.055865922e+00 1.033546436e-04 7.324401206e-06
-1.955307263e+00 1.023107756e-04 7.621121571e-06
-1.854748603e+00 9.622558431e-05 7.538648300e-06
-1.754189944e+00 1.000290090e-04 7.351212788e-06
-1.653631285e+00 1.053578467e-04 7.546135726e-06
-1.553072626e+00 1.169267315e-04 8.001274931e-06
-1.452513966e+00 1.099820486e-04 7.770457376e-06
-1.351955307e+00 9.989454987e-05 7.605830894e-06
-1.251396648e+00 1.041967826e-04 7.692164855e-06
-1.150837989e+00 1.187659579e-04 8.062692448e-06
-1.050279330e+00 1.233215573e-04 8.287596618e-06
-9.497206704e-01 1.346125011e-04 8.584594827e-06
-8.491620112e-01 1.406528540e-04 8.754034007e-06
-7.486033520e-01 1.690358925e-04 9.630445679e-06
-6.480446927e-01 1.829718881e-04 9.902627458e-06
-5.474860335e-01 2.404475756e-04 1.113542478e-05
-4.469273743e-01 5.412873222e-04 1.645175507e-05
-3.463687151e-01 2.354105887e-03 3.376234318e-05
-2.458100559e-01 7.848823014e-03 6.139353543e-05
-1.452513966e-01 1.953142711e-02 9.678047597e-05
-4.469273743e-02 3.930724949e-02 1.373147175e-04
5.586592179e-02 7.065343392e-02 1.836612222e-04
1.564245810e-01 9.935590597e-02 2.180286710e-04
2.569832402e-01 7.548604378e-02 1.901299234e-04
3.575418994e-01 2.716271189e-02 1.141231197e-04
4.581005587e-01 7.855597160e-03 6.150112892e-05
5.586592179e-01 3.189589981e-03 3.943905153e-05
