	K 0.42K H//c		K 0.5K H//c		K 0.6K H//c		K 0.8K H//c		K 1K H//c		K 1.2K H//c		K 1.5K H//c		K 2K H//c		K 10K H//c		K 50K H//c 
-0.175613671541214	-7.46877197896914E-5	0.150526002049446	-9.59133837088269E-5	0.313595831394196	-0.00897559379369268	-0.388858824968338	-1.04085499059663E-4	0.338683485984802	-0.00726412174713579	-0.26342049241066	-1.79138699762613E-4	-0.42649033665657	-2.10749778570769E-4	0	-8.32394378551076E-4	0	-0.00104393307315334	0	-3.79643677730127E-4
--	--	--	--	--	--	--	--	--	--	--	--	--	--	0	-9.08304356509462E-4	0	-0.00105846300641787	0	-3.48882471012842E-4
9.64620780944824	0.0028535584752185	9.57094478607178	0.00267193223293092	9.55840110778809	-0.00757043844384973	9.55840110778809	0.00232315093446864	9.7340145111084	-0.00581856690050854	9.54585647583008	0.00572213396485948	9.58348846435547	0.00194413378251965	200	0.0349579807949001	200	0.0191574683700398	2000	0.00273804439297595
--	--	--	--	--	--	--	--	--	--	--	--	--	--	200	0.0349600612227858	200	0.0191631698670021	2000	0.0696615646188312
19.6060123443604	0.00586627464054775	19.555835723877	0.00558929454078999	19.5432910919189	-0.0039115490096695	19.8945198059082	0.00501847249302348	19.5307483673096	-0.00345123868110596	19.6185550689697	0.00442732442611982	19.4805717468262	0.00414501399235057	400	0.0706914438955669	400	0.039200355602658	4000	0.139438711063656
--	--	--	--	--	--	--	--	--	--	--	--	--	--	400	0.0707207385693082	400	0.0392140414444788	4000	0.139232804930757
29.5532703399658	0.00888264440410361	29.8417778015137	0.00856063099451171	29.6661643981934	-0.00109439873420644	29.5783596038818	0.00755158749102932	29.8417778015137	9.34091448204094E-4	29.5909023284912	0.00670639515992697	29.5658149719238	0.00623537321517837	600	0.106374976726978	600	0.0591150772319637	6000	0.209290932841262
--	--	--	--	--	--	--	--	--	--	--	--	--	--	600	0.106376764770404	600	0.0591647600989844	6000	0.202499629033557
39.5883369445801	0.0119315071697324	39.6259689331055	0.0114406360683577	39.8015823364258	0.0017370598271348	39.6134262084961	0.0101476139313031	39.5632476806641	0.001442084283241	39.5256195068359	0.00900065222432002	39.5507049560547	0.00836149527607937	800	0.141839187477017	800	0.0792124266929614	8000	0.278770476888433
--	--	--	--	--	--	--	--	--	--	--	--	--	--	800	0.141817933375915	800	0.0792288227138116	8000	0.278573342289322
49.5481414794922	0.0149563104727432	49.5481414794922	0.0143420969518236	49.4979629516602	0.00445979145702483	49.5355987548828	0.0127999567472026	49.5606842041016	0.00385789357391791	49.8115615844727	0.0113745611339578	49.5230522155762	0.010506867282064	1000	0.177629969177322	1000	0.0991731314013182	10000	0.348510468015775
--	--	--	--	--	--	--	--	--	--	--	--	--	--	1000	0.17735973846331	1000	0.0992055748307783	10000	0.348296352626895
59.5330352783203	0.01799534647411	59.8466300964355	0.0173405620582841	59.5204887390137	0.00726473516176322	59.6082916259766	0.0153722906123876	59.8089981079102	0.00636106230566988	59.5706672668457	0.0136448386865464	59.6208381652832	0.0126837461502813	1200	0.212944614030717	1200	0.119325021809589	12000	0.418104379368876
--	--	--	--	--	--	--	--	--	--	--	--	--	--	1200	0.213071238992838	1200	0.119361907233723	12000	0.417866198489859
69.6308135986328	0.0209972160773203	69.5931854248047	0.0201995390413052	69.7938919067383	0.010134111401535	69.5931854248047	0.0179601578913039	69.6182708740234	0.00876290613713651	69.5179214477539	0.0159413960858262	69.5931854248047	0.0147863948039237	1400	0.248179865257772	1400	0.139483243465965	14000	0.487666465798105
--	--	--	--	--	--	--	--	--	--	--	--	--	--	1400	0.248340676710555	1400	0.139345372947705	14000	0.487593482138765
79.5906219482422	0.0240141161649646	79.5404434204102	0.0231092704454447	79.6031646728516	0.0128797236045754	79.5153579711914	0.0205565840945112	79.5655364990234	0.011194265834927	79.5153579711914	0.018306195033681	79.5153579711914	0.0169483581547365	1600	0.283599993427747	1600	0.15944837892344	16000	0.557246432661594
--	--	--	--	--	--	--	--	--	--	--	--	--	--	1600	0.283374632482728	1600	0.159394512709536	16000	0.557132402722347
89.5253372192383	0.0270097695264137	89.5253372192383	0.0261036114416388	89.4877090454102	0.0156629325075122	89.6256866455078	0.0231735923290125	89.4877090454102	0.0137194258319764	89.7887573242188	0.0205955454100881	89.8013000488281	0.0191415179668036	1800	0.319102326613095	1800	0.179449949982805	18000	0.626391308958077
--	--	--	--	--	--	--	--	--	--	--	--	--	--	1800	0.31903136715386	1800	0.179478288784274	18000	0.626600926124502
99.7861938476563	0.0301119170900063	99.5478591918945	0.0289529421168395	99.811279296875	0.018540852535147	99.5854873657227	0.0257605542316091	99.6356658935547	0.0160969958923941	99.5353164672852	0.0228502231030208	99.5478591918945	0.0212500411563343	2000	0.353900800439725	2000	0.199409462662211	20000	0.696163574831538
--	--	--	--	--	--	--	--	--	--	--	--	--	--	2000	0.353968611143241	2000	0.199394955894792	20000	0.696120729262649
99.7987365722656	0.0301145336789939	99.5604019165039	0.0289319949355706	99.7987365722656	0.0184928285080731	99.5729446411133	0.0257469254625306	99.6482086181641	0.0160544284412718	99.5478591918945	0.0228276924906164	99.5729446411133	0.0211981148388776	2000	0.354033947824407	2000	0.199462316776063	22000	0.765588240564752
