[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1575734548.046000 12/7/2019, 8:02:28 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, KErSe2_Hparatoplate_12.07.2019
INFO, WEIGHT, 0.560mg
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, Plate
INFO, COMMENT, KErSe2_Hparatoplate_12.07.2019 on grease straw neutronsample
INFO, SEQUENCE FILE: Er.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1575734548.046,,6.000000e+004,1.999390e+000,5.503910e-003,0.000000e+000,3,8.781991e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.380444e-004,0.000000e+000,0,,0,
1575734571.468,,6.000000e+004,1.999511e+000,3.839137e-003,0.000000e+000,3,8.609884e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.029968e-004,0.000000e+000,0,,0,
1575734892.343,,5.700000e+004,2.000462e+000,6.304631e-002,0.000000e+000,3,9.933419e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.522064e-003,0.000000e+000,0,,0,
1575734904.031,,5.700000e+004,1.999303e+000,6.303633e-002,0.000000e+000,3,9.931544e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,7.250309e-004,0.000000e+000,0,,0,
1575735042.281,,5.400000e+004,2.000376e+000,6.252667e-002,0.000000e+000,3,9.932911e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,8.649826e-004,0.000000e+000,0,,0,
1575735054.125,,5.400000e+004,2.000012e+000,6.249161e-002,0.000000e+000,3,9.931309e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.380444e-004,0.000000e+000,0,,0,
1575735187.375,,5.100000e+004,1.999839e+000,6.196870e-002,0.000000e+000,3,9.935146e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.080202e-004,0.000000e+000,0,,0,
1575735198.984,,5.100000e+004,1.999683e+000,6.193696e-002,0.000000e+000,3,9.932594e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.029968e-004,0.000000e+000,0,,0,
1575735336.375,,4.800000e+004,1.999891e+000,6.135289e-002,0.000000e+000,3,9.933935e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,6.570816e-004,0.000000e+000,0,,0,
1575735347.859,,4.800000e+004,1.999753e+000,6.133524e-002,0.000000e+000,3,9.931922e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.809929e-004,0.000000e+000,0,,0,
