[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1575778116.937000 12/7/2019, 8:08:36 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, KErSe2_Hpertoplate_12.07.2019
INFO, WEIGHT, 0.560mg
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, Plate
INFO, COMMENT, KErSe2_Hpertoplate_12.07.2019on grease straw neutronsample
INFO, SEQUENCE FILE: Er.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1575778116.937,,6.000000e+004,1.999097e+000,6.628656e-004,0.000000e+000,3,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.209021e-003,0.000000e+000,0,,0,
1575778128.781,,6.000000e+004,1.999044e+000,7.979909e-004,0.000000e+000,3,3.669282e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,6.209612e-004,0.000000e+000,0,,0,
1575778611.500,,5.700000e+004,1.998234e+000,-5.091068e-003,0.000000e+000,3,0.000000e+000,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.110170e-004,0.000000e+000,0,,0,
1575778656.078,,5.700000e+004,1.998630e+000,1.386858e-003,0.000000e+000,3,9.900846e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.379251e-004,0.000000e+000,0,,0,
1575778981.984,,5.400000e+004,2.000877e+000,5.079390e-002,0.000000e+000,3,9.942936e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.081394e-004,0.000000e+000,0,,0,
1575778994.375,,5.400000e+004,2.000220e+000,5.079680e-002,0.000000e+000,3,9.941776e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.850626e-004,0.000000e+000,0,,0,
1575779126.109,,5.100000e+004,1.997286e+000,4.912719e-002,0.000000e+000,3,9.944450e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.101971e-003,0.000000e+000,0,,0,
1575779137.796,,5.100000e+004,1.997079e+000,4.911211e-002,0.000000e+000,3,9.942231e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,6.890297e-004,0.000000e+000,0,,0,
1575779275.500,,4.800000e+004,2.000617e+000,4.748731e-002,0.000000e+000,3,9.944217e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.419949e-004,0.000000e+000,0,,0,
1575779287.000,,4.800000e+004,2.000496e+000,4.747383e-002,0.000000e+000,3,9.942265e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.459454e-004,0.000000e+000,0,,0,
1575779418.468,,4.500000e+004,1.999891e+000,4.586903e-002,0.000000e+000,3,9.945026e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,8.640289e-004,0.000000e+000,0,,0,
1575779430.015,,4.500000e+004,1.999649e+000,4.585939e-002,0.000000e+000,3,9.943143e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.799200e-004,0.000000e+000,0,,0,
1575779567.046,,4.200000e+004,1.999925e+000,4.427018e-002,0.000000e+000,3,9.945339e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.729727e-004,0.000000e+000,0,,0,
1575779579.296,,4.200000e+004,2.000202e+000,4.425554e-002,0.000000e+000,3,9.942290e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,7.261038e-004,0.000000e+000,0,,0,
1575779709.437,,3.900000e+004,2.000410e+000,4.267856e-002,0.000000e+000,3,9.944766e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.111362e-004,0.000000e+000,0,,0,
1575779721.375,,3.900000e+004,2.000323e+000,4.266718e-002,0.000000e+000,3,9.943232e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.380444e-004,0.000000e+000,0,,0,
1575779858.359,,3.600000e+004,2.000133e+000,4.106528e-002,0.000000e+000,3,9.944698e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.385544e-005,0.000000e+000,0,,0,
1575779869.921,,3.600000e+004,1.999804e+000,4.105346e-002,0.000000e+000,3,9.942390e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,6.890297e-005,0.000000e+000,0,,0,
1575779998.937,,3.300000e+004,1.999597e+000,3.942290e-002,0.000000e+000,3,9.944623e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.839897e-004,0.000000e+000,0,,0,
1575780010.468,,3.300000e+004,1.999579e+000,3.940680e-002,0.000000e+000,3,9.941735e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.490614e-004,0.000000e+000,0,,0,
1575780139.609,,3.000000e+004,2.000340e+000,3.766909e-002,0.000000e+000,3,9.943322e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,5.888939e-004,0.000000e+000,0,,0,
1575780151.062,,3.000000e+004,2.000340e+000,3.766291e-002,0.000000e+000,3,9.942002e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,5.888939e-004,0.000000e+000,0,,0,
1575780278.015,,2.900000e+004,1.999649e+000,3.705049e-002,0.000000e+000,3,9.944994e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,5.179644e-004,0.000000e+000,0,,0,
1575780289.765,,2.900000e+004,1.999683e+000,3.704122e-002,0.000000e+000,3,9.942886e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,5.869865e-004,0.000000e+000,0,,0,
1575780403.312,,2.800000e+004,2.000219e+000,3.641100e-002,0.000000e+000,3,9.943824e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.150867e-004,0.000000e+000,0,,0,
1575780414.703,,2.800000e+004,2.000081e+000,3.640179e-002,0.000000e+000,3,9.942196e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.380444e-004,0.000000e+000,0,,0,
1575780534.734,,2.700000e+004,1.999856e+000,3.568234e-002,0.000000e+000,3,9.933363e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.800392e-004,0.000000e+000,0,,0,
1575780546.156,,2.700000e+004,1.999821e+000,3.573464e-002,0.000000e+000,3,9.942411e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.492832e-005,0.000000e+000,0,,0,
