ħw (meV)														dE_total (meV)
-80.00														6.77
-74.67														6.49
-69.33														6.20
-64.00														5.93
-58.67														5.65
-53.33														5.39
-48.00														5.12
-42.67														4.87
-37.33														4.61
-32.00														4.37
-26.67														4.12
-21.33														3.89
-16.00														3.65
-10.67														3.43
-5.33														3.21
0.00														3.00
5.33														2.79
10.67														2.59
16.00														2.39
21.33														2.21
26.67														2.03
32.00														1.86
37.33														1.70
42.67														1.55
48.00														1.41
53.33														1.28
58.67														1.17
64.00														1.07
69.33														0.99
74.67														0.93
80.00														0.90

