[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1431620219.692000 5/14/2015, 12:16:59 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, Nd3Sb3Mg2O14
INFO, WEIGHT, 53.800
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MT up.seq_5 to 300_quick.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1431620219.692,,5.000000e+003,1.773137e+000,3.165264e-001,1.176740e-004,3,9.886228e-001,3.717667e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.032042e-003,0.000000e+000,0,,0,
1431620398.022,,5.000000e+003,2.745384e+000,2.065848e-001,2.237924e-002,3,9.861592e-001,1.083296e+001,,,,,,,,,,,,,,32,2,4.000000e+000,8.354959e-001,0.000000e+000,0,,0,
1431620505.892,,5.000000e+003,3.604637e+000,1.563147e-001,1.518111e-002,3,9.866508e-001,9.711884e+000,,,,,,,,,,,,,,32,2,4.000000e+000,9.719238e-001,0.000000e+000,0,,0,
1431620584.072,,5.000000e+003,4.637010e+000,1.236218e-001,1.928898e-003,3,9.890153e-001,1.560322e+000,,,,,,,,,,,,,,32,2,4.000000e+000,2.024527e-001,0.000000e+000,0,,0,
1431620611.452,,5.000000e+003,4.854568e+000,1.182304e-001,1.779777e-003,3,9.888340e-001,1.505346e+000,,,,,,,,,,,,,,32,2,4.000000e+000,2.111111e-001,0.000000e+000,0,,0,
1431620642.022,,5.000000e+003,5.103002e+000,1.127848e-001,1.765099e-003,3,9.888480e-001,1.565016e+000,,,,,,,,,,,,,,32,2,4.000000e+000,2.081990e-001,0.000000e+000,0,,0,
1431620666.812,,5.000000e+003,5.315364e+000,1.084355e-001,1.407278e-003,3,9.888779e-001,1.297802e+000,,,,,,,,,,,,,,32,2,4.000000e+000,1.813850e-001,0.000000e+000,0,,0,
1431620692.042,,5.000000e+003,5.520989e+000,1.045910e-001,1.356238e-003,3,9.888856e-001,1.296706e+000,,,,,,,,,,,,,,32,2,4.000000e+000,2.008009e-001,0.000000e+000,0,,0,
1431620743.822,,5.000000e+003,5.933594e+000,9.742762e-002,1.241293e-003,3,9.890149e-001,1.274067e+000,,,,,,,,,,,,,,32,2,4.000000e+000,1.787529e-001,0.000000e+000,0,,0,
1431620808.002,,5.000000e+003,6.442153e+000,8.991659e-002,9.933379e-004,3,9.889532e-001,1.104733e+000,,,,,,,,,,,,,,32,2,4.000000e+000,1.964350e-001,0.000000e+000,0,,0,
