[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1434039272.954000 6/11/2015, 12:14:32 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, Nd3Sb3Zn2O14
INFO, WEIGHT, 77.700
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MT up.seq_5 to 300_quick.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1434039272.954,,5.000000e+003,1.779681e+000,3.569214e-001,1.258273e-003,3,9.939506e-001,3.525350e-001,,,,,,,,,,,,,,32,2,4.000000e+000,6.774068e-003,0.000000e+000,0,,0,
1434039459.894,,5.000000e+003,2.757407e+000,2.312940e-001,2.657759e-002,3,9.903624e-001,1.149082e+001,,,,,,,,,,,,,,32,2,4.000000e+000,8.497341e-001,0.000000e+000,0,,0,
1434039566.974,,5.000000e+003,3.686408e+000,1.752554e-001,1.671869e-002,3,9.922294e-001,9.539610e+000,,,,,,,,,,,,,,32,2,4.000000e+000,9.539292e-001,0.000000e+000,0,,0,
1434039694.145,,5.000000e+003,5.033805e+000,1.279984e-001,1.438029e-003,3,9.942792e-001,1.123474e+000,,,,,,,,,,,,,,32,2,4.000000e+000,1.665769e-001,0.000000e+000,0,,0,
1434039719.215,,5.000000e+003,5.245470e+000,1.236215e-001,1.618197e-003,3,9.941078e-001,1.308992e+000,,,,,,,,,,,,,,32,2,4.000000e+000,1.956649e-001,0.000000e+000,0,,0,
1434039744.015,,5.000000e+003,5.455735e+000,1.189977e-001,1.586650e-003,3,9.941518e-001,1.333345e+000,,,,,,,,,,,,,,32,2,4.000000e+000,2.011781e-001,0.000000e+000,0,,0,
1434039768.255,,5.000000e+003,5.661841e+000,1.148326e-001,1.415512e-003,3,9.939946e-001,1.232675e+000,,,,,,,,,,,,,,32,2,4.000000e+000,1.966009e-001,0.000000e+000,0,,0,
1434039792.655,,5.000000e+003,5.862118e+000,1.111213e-001,1.251962e-003,3,9.940689e-001,1.126662e+000,,,,,,,,,,,,,,32,2,4.000000e+000,1.704488e-001,0.000000e+000,0,,0,
1434039817.055,,5.000000e+003,6.052875e+000,1.077227e-001,1.110685e-003,3,9.939317e-001,1.031060e+000,,,,,,,,,,,,,,32,2,4.000000e+000,1.914010e-001,0.000000e+000,0,,0,
1434039865.405,,5.000000e+003,6.437078e+000,1.014209e-001,1.123324e-003,3,9.938282e-001,1.107586e+000,,,,,,,,,,,,,,32,2,4.000000e+000,1.947913e-001,0.000000e+000,0,,0,
