[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1430923939.975000 5/6/2015, 10:52:19 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, Pr3Sb3Mg2O14
INFO, WEIGHT, 58.300
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MT up.seq_5 to 300_quick.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1430923939.975,,1.000000e+003,1.978152e+000,4.857143e-003,2.858742e-006,3,9.931660e-001,5.885645e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.017094e-002,0.000000e+000,0,,0,
1430924041.835,,1.000000e+003,2.608104e+000,4.606794e-003,2.608462e-005,3,9.933625e-001,5.662207e-001,,,,,,,,,,,,,,32,2,4.000000e+000,2.029421e-001,0.000000e+000,0,,0,
1430924104.765,,1.000000e+003,3.095114e+000,4.473300e-003,2.212973e-005,3,9.929936e-001,4.947070e-001,,,,,,,,,,,,,,32,2,4.000000e+000,1.830351e-001,0.000000e+000,0,,0,
1430924170.235,,1.000000e+003,3.689556e+000,4.349666e-003,2.852156e-005,3,9.934539e-001,6.557184e-001,,,,,,,,,,,,,,32,2,4.000000e+000,3.560271e-001,0.000000e+000,0,,0,
1430924213.025,,1.000000e+003,4.121058e+000,4.278109e-003,1.654527e-005,3,9.941686e-001,3.867426e-001,,,,,,,,,,,,,,32,2,4.000000e+000,2.182531e-001,0.000000e+000,0,,0,
1430924275.055,,1.000000e+003,4.611325e+000,4.205849e-003,1.157886e-005,3,9.935643e-001,2.753037e-001,,,,,,,,,,,,,,32,2,4.000000e+000,2.023687e-001,0.000000e+000,0,,0,
1430924340.595,,1.000000e+003,5.102302e+000,4.145062e-003,1.409417e-005,3,9.927021e-001,3.400231e-001,,,,,,,,,,,,,,32,2,4.000000e+000,2.178459e-001,0.000000e+000,0,,0,
1430924398.695,,1.000000e+003,5.571152e+000,4.089294e-003,9.801118e-006,3,9.936495e-001,2.396775e-001,,,,,,,,,,,,,,32,2,4.000000e+000,1.525488e-001,0.000000e+000,0,,0,
1430924467.856,,1.000000e+003,6.107005e+000,4.040141e-003,6.790252e-006,3,9.933943e-001,1.680697e-001,,,,,,,,,,,,,,32,2,4.000000e+000,1.881599e-001,0.000000e+000,0,,0,
1430924527.416,,1.000000e+003,6.588268e+000,4.003167e-003,1.135462e-005,3,9.929145e-001,2.836410e-001,,,,,,,,,,,,,,32,2,4.000000e+000,1.770372e-001,0.000000e+000,0,,0,
1430924590.266,,1.000000e+003,7.095690e+000,3.960048e-003,4.672703e-006,3,9.936186e-001,1.179961e-001,,,,,,,,,,,,,,32,2,4.000000e+000,2.016258e-001,0.000000e+000,0,,0,
1430924653.246,,1.000000e+003,7.602794e+000,3.925852e-003,3.596641e-006,3,9.932512e-001,9.161427e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.733284e-001,0.000000e+000,0,,0,
1430924715.396,,1.000000e+003,8.139194e+000,3.893459e-003,6.073262e-006,3,9.937401e-001,1.559863e-001,,,,,,,,,,,,,,32,2,4.000000e+000,2.283964e-001,0.000000e+000,0,,0,
1430924772.476,,1.000000e+003,8.607690e+000,3.866389e-003,4.840961e-006,3,9.937009e-001,1.252062e-001,,,,,,,,,,,,,,32,2,4.000000e+000,2.011719e-001,0.000000e+000,0,,0,
