ħw (meV)														dE_total (meV)
-40.00														3.81
-37.33														3.65
-34.67														3.48
-32.00														3.32
-29.33														3.16
-26.67														3.00
-24.00														2.85
-21.33														2.70
-18.67														2.55
-16.00														2.41
-13.33														2.27
-10.67														2.14
-8.00														2.01
-5.33														1.88
-2.67														1.75
0.00														1.63
2.67														1.52
5.33														1.41
8.00														1.30
10.67														1.20
13.33														1.11
16.00														1.02
18.67														0.93
21.33														0.86
24.00														0.79
26.67														0.72
29.33														0.67
32.00														0.62
34.67														0.58
37.33														0.55
40.00														0.54

