# from  http://dx.doi.org/10.1016/S0925-8388(98)00309-0
#ion	sigma2, sigma4, sigma6,	<r^2>	<r^4>	<r^6>
Ce3+,0.51,0.0132,-0.0294,1.456,5.437,42.26
Pr3+,0.514,0.015,-0.0302,1.327,4.537,32.65
Nd3+,0.515,0.0164,-0.0307,1.222,3.875,26.12
Pm3+,0.512,0.0175,-0.0309,1.135,3.366,21.46
Sm3+,0.507,0.0184,-0.0309,1.061,2.964,17.99
Eu3+,0.502,0.019,-0.0308,0.997,2.638,15.34
Gd3+,0.494,0.0192,-0.0304,0.942,2.381,13.36
Tb3+,0.486,0.0193,-0.0300,0.893,2.163,11.75
Dy3+,0.477,0.0193,-0.0295,0.849,1.977,10.44
Ho3+,0.469,0.0192,-0.0289,0.81,1.816,9.345
Er3+,0.46,0.019,-0.0283,0.773,1.677,8.431
Tm3+,0.45,0.0188,-0.0277,0.74,1.555,7.659
Yb3+,0.441,0.0185,-0.0270,0.71,1.448,7.003
Lu3+,0.431,0.0182,-0.0263,0.682,1.353,6.441
