# Output for PyCrystalField batch processing of files
# Allen Scheie 	May, 2019
#cif name 	 sample_ID 	 highest excited CEF level (meV) 	GS eigenstate 	Closest polyhedron & CSM 	Coordination number 	max ligand distance 	next ligand distance 
643254.cif 	35 	74.4275 	psi_0+ = (0.329+0.325j)|-9/2> (0.315-0.345j)|-7/2> (-0.287-0.317j)|-5/2> ,  psi_0- = (0.178+0.427j)|9/2> (0.438-0.163j)|7/2> (-0.186-0.385j)|5/2> 	Bicapped square antiprism J17, CSM=3.079 	12 	2.72404 	2.80246
ic801630z_si_003_Er.cif 	51 	47.6329 	psi_0+ = (-0.129+0.476j)|-1/2> (0.107-0.334j)|1/2> (-0.418-0.223j)|3/2> ,  psi_0- = (0.054+0.490j)|1/2> (0.054+0.347j)|-1/2> (0.447-0.156j)|-3/2> 	Square antiprism, CSM=0.167 	8 	2.4272 	3.33062
ic801630z_si_003_Tm.cif 	52 	90.792 	psi_0 = (0.291-0.397j)|-2> (-0.652-0.108j)|0> (0.148+0.470j)|2> 	Square antiprism, CSM=0.123 	8 	2.40036 	3.32019
752496.cif 	56 	137.9307 	psi_0 = (-0.653+0.000j)|-6> (0.039-0.241j)|-5> (0.240-0.607j)|6> 	Triangular dodecahedron, CSM=0.826 	8 	2.62873 	3.27782
4107178.cif 	94 	131.5828 	psi_0+ = (1.000+0.000j)|-15/2> (-0.008-0.001j)|-13/2> (-0.004-0.003j)|-11/2> ,  psi_0- = (0.641+0.768j)|15/2> (0.006+0.005j)|13/2> (-0.005-0.001j)|11/2> 	NA 	16 	2.70653 	3.34479
4328536.cif 	102 	221.0485 	psi_0+ = (-1.000+0.000j)|-15/2> (-0.031+0.000j)|-13/2> (0.001+0.000j)|-9/2> ,  psi_0- = (1.000+0.000j)|15/2> (-0.031+0.000j)|13/2> (0.001+0.000j)|9/2> 	NA 	21 	2.59842 	3.22528
ic400098c_si_032.cif 	201 	95.7019 	psi_0+ = (-0.204-0.362j)|-5/2> (-0.368-0.452j)|-1/2> (-0.417-0.288j)|3/2> ,  psi_0- = (0.378-0.174j)|5/2> (0.563-0.152j)|1/2> (0.507+0.010j)|-3/2> 	Anticuboctahedron J27, CSM=13.019 	12 	2.92065 	3.31438
4119398.cif 	202 	131.8814 	psi_0+ = (-0.010+0.002j)|11/2> (0.059-0.052j)|13/2> (-0.669+0.739j)|15/2> ,  psi_0- = (-0.008+0.006j)|-11/2> (-0.078+0.009j)|-13/2> (-0.997+0.000j)|-15/2> 	NA 	16 	2.7271 	3.33755
4121213.cif 	260 	150.9572 	psi_0+ = (-0.006+0.000j)|11/2> (-0.032+0.083j)|13/2> (-0.359+0.929j)|15/2> ,  psi_0- = (-0.002+0.005j)|-11/2> (0.089+0.000j)|-13/2> (-0.996+0.000j)|-15/2> 	NA 	16 	2.69816 	3.26658
961013.cif 	294 	135.2258 	psi_0+ = (-0.000+0.000j)|11/2> (0.016+0.000j)|13/2> (-1.000+0.000j)|15/2> ,  psi_0- = (-0.000+0.000j)|-11/2> (-0.016+0.000j)|-13/2> (-1.000+0.000j)|-15/2> 	NA 	16 	2.67415 	3.35686
4349461.cif 	710 	145.6036 	psi_0+ = (-0.999+0.000j)|-15/2> (0.040+0.019j)|-13/2> (0.027-0.003j)|-11/2> ,  psi_0- = (-0.421-0.906j)|15/2> (-0.034-0.028j)|13/2> (0.009+0.026j)|11/2> 	NA 	13 	2.74435 	2.79263
4349462.cif 	711 	146.153 	psi_0+ = (0.021+0.015j)|11/2> (-0.050-0.020j)|13/2> (-0.830-0.554j)|15/2> ,  psi_0- = (0.026-0.000j)|-11/2> (0.053+0.011j)|-13/2> (-0.998+0.000j)|-15/2> 	NA 	13 	2.71219 	2.81813
4349463.cif 	712 	146.3415 	psi_0+ = (-0.996+0.000j)|-15/2> (-0.068+0.045j)|-13/2> (0.026-0.000j)|-11/2> ,  psi_0- = (0.376-0.923j)|15/2> (-0.067+0.046j)|13/2> (-0.010+0.024j)|11/2> 	NA 	13 	2.7228 	2.86887
1524821_N_Tb.cif 	954 	127.5735 	psi_0 = (-0.095+0.000j)|-6> (-0.829+0.535j)|0> (-0.039+0.086j)|6> 	Square antiprism, CSM=0.598 	8 	2.42502 	3.33487
1542354.cif 	973 	566.9893 	psi_0+ = (0.536-0.172j)|-3/2> (-0.585+0.333j)|1/2> (0.300-0.259j)|5/2> ,  psi_0- = (0.511-0.237j)|3/2> (-0.655+0.152j)|-1/2> (0.396-0.013j)|-5/2> 	NA 	12 	2.97391 	2.77533
1551848.cif 	993 	570.5793 	psi_0+ = (-0.552-0.081j)|-3/2> (0.633+0.133j)|1/2> (-0.400-0.110j)|5/2> ,  psi_0- = (0.403+0.387j)|3/2> (-0.493-0.418j)|-1/2> (0.332+0.248j)|-5/2> 	Hexagonal antiprism, CSM=17.155 	12 	2.71145 	2.74835
ic6b02312_si_002_Ho.cif 	1029 	46.5583 	psi_0 = (0.251+0.645j)|-4> (-0.643+0.255j)|4> (-0.110-0.008j)|5> 	Square antiprism, CSM=0.061 	8 	2.38883 	3.11543
1835955.cif 	1103 	65.5399 	psi_0+ = (-0.030+0.331j)|-1/2> (0.301-0.795j)|1/2> (0.087-0.368j)|3/2> ,  psi_0- = (-0.287+0.168j)|1/2> (-0.591+0.611j)|-1/2> (0.297-0.235j)|-3/2> 	NA 	20 	2.64529 	2.79288
1937911.cif 	1289 	170.2127 	psi_0+ = (0.067-0.090j)|-3/2> (0.481+0.123j)|-1/2> (-0.846+0.145j)|1/2> ,  psi_0- = (-0.078-0.082j)|3/2> (0.463-0.179j)|1/2> (0.858+0.044j)|-1/2> 	Hexagonal bipyramid, CSM=1.254 	8 	2.73613 	3.26796
1957222.cif 	1390 	539.8495 	psi_0+ = (-0.997+0.000j)|-15/2> (0.057-0.045j)|-13/2> (0.030+0.008j)|-11/2> ,  psi_0- = (-0.259-0.963j)|15/2> (0.028-0.067j)|13/2> (0.015+0.027j)|11/2> 	Augmented pentagonal prism J52, CSM=18.974 	11 	2.79861 	2.78718
