sample_ID	paper_number	compound	chemical_family	Ln_ion	Ln_anisotropy	Ln_Kramers	concentration	coordination_number	number_of_ligands	coordination_elements	X_im_max	T_B3	T_B3H	H	Fit	Ueff	Ueff_2	Ueff_ff	tau0	tau0_ff	Hyst	T_hyst	DOI	reference	year	mol_cluster	mag_struct_cluster	mol_cluster_2	mag_struct_cluster_2	link_to_CIF
1	2003_01	[Pc2Tb]TBA	LnPc2	Tb3+	Oblate	Non-Kramers	100	8	2	Nitrogen	T_B3 > 2K	40	NA	NA	NA	NA	NA	NA	NA	NA	Full Hysteresis	1.7	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	Unassigned	F	Unassigned	NA
2	2003_01	[Pc2Dy]TBA	LnPc2	Dy3+	Oblate	Kramers	100	8	2	Nitrogen	T_B3 > 2K	10	NA	NA	NA	NA	NA	NA	NA	NA	Pinched Hysteresis	1.7	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	Unassigned	F	Unassigned	NA
3	2003_01	[Pc2Ho]TBA	LnPc2	Ho3+	Oblate	Non-Kramers	100	8	2	Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	Unassigned	F	Unassigned	NA
4	2003_01	[Pc2Er]TBA	LnPc2	Er3+	Prolate	Kramers	100	8	2	Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	Unassigned	F	Unassigned	NA
5	2003_01	[Pc2Tm]TBA	LnPc2	Tm3+	Prolate	Non-Kramers	100	8	2	Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	Unassigned	F	Unassigned	NA
6	2003_01	[Pc2Yb]TBA	LnPc2	Yb3+	Prolate	Kramers	100	8	2	Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	Unassigned	F	Unassigned	NA
7	2003_01	[Pc2Tb]TBA:[Pc2Y]TBA = 1/4	LnPc2	Tb3+	Oblate	Non-Kramers	20	8	2	Nitrogen	T_B3 > 2K	40	NA	NA	X''(T)	331.2	NA	NA	6.25e-8	NA	Not Measured	NA	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	III	F	VIII	NA
8	2003_01	[Pc2Dy]TBA:[Pc2Y]TBA = 1/4	LnPc2	Dy3+	Oblate	Kramers	20	8	2	Nitrogen	T_B3 > 2K	10	NA	NA	X''(T)	40.32	NA	NA	6.25e-6	NA	Not Measured	NA	10.1021/ja029629n	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2003 Lanthanide Double-Decker Complexes Functioning as Magnets at the Single-Molecular Level. Journal of the American Chemical Society 125, 8694–8695. (doi:10.1021/ja029629n)	2003-2010	D	III	F	VIII	NA
9	2004_01	[Pc2Tb]TBA:[Pc2Y]TBA = 1/50	LnPc2	Tb3+	Oblate	Non-Kramers	2	8	2	Nitrogen	T_B3 > 2K	40	NA	NA	NA	374.4	NA	NA	2e-8	NA	Not Measured	NA	10.1021/jp0376065	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2004 Mononuclear Lanthanide Complexes with a Long Magnetization Relaxation Time at High Temperatures:  A New Category of Magnets at the Single-Molecular Level. The Journal of Physical Chemistry B 108, 11265–11271. (doi:10.1021/jp0376065)	2003-2010	D	III	F	VIII	NA
10	2004_01	[Pc2Dy]TBA:[Pc2Y]TBA = 1/50	LnPc2	Dy3+	Oblate	Kramers	2	8	2	Nitrogen	T_B3 > 2K	10	NA	NA	NA	44.64	NA	NA	3.33e-6	NA	Not Measured	NA	10.1021/jp0376065	Ishikawa, N., Sugita, M., Ishikawa, T., Koshihara, S. & Kaizu, Y. 2004 Mononuclear Lanthanide Complexes with a Long Magnetization Relaxation Time at High Temperatures:  A New Category of Magnets at the Single-Molecular Level. The Journal of Physical Chemistry B 108, 11265–11271. (doi:10.1021/jp0376065)	2003-2010	D	III	F	VIII	NA
